Sand Ground,(-17.50, -4.00, -5.50)
Sand Ground,(-16.50, -4.00, -5.50)
Sand Ground,(-18.50, -4.00, -4.50)
Sand Ground,(-17.50, -4.00, -4.50)
Sand Ground,(-16.50, -4.00, -4.50)
Sand Ground,(-17.50, -4.00, -3.50)
Sand Ground,(-20.50, -4.00, -4.50)
Sand Ground,(-19.50, -4.00, -3.50)
Sand Ground,(-20.50, -4.00, -2.50)
Sand Ground,(-18.50, -4.00, -2.50)
Sand Ground,(-21.50, -4.00, -5.50)
Sand Ground,(-20.50, -4.00, -5.50)
Sand Ground,(-21.50, -4.00, -4.50)
Sand Ground,(-22.50, -4.00, -3.50)
Sand Ground,(-19.50, -4.00, -5.50)
Sand Ground,(-23.50, -4.00, -7.50)
Sand Ground,(-23.50, -4.00, -6.50)
Sand Ground,(-21.50, -4.00, -6.50)
Sand Ground,(-23.50, -4.00, -5.50)
Sand Ground,(-23.50, -4.00, -4.50)
Sand Ground,(-20.50, -4.00, -8.50)
Sand Ground,(-20.50, -4.00, -7.50)
Sand Ground,(-19.50, -4.00, -7.50)
Sand Ground,(-19.50, -4.00, -6.50)
Sand Ground,(-20.50, -4.00, -9.50)
Sand Ground,(-19.50, -4.00, -9.50)
Sand Ground,(-18.50, -4.00, -8.50)
Sand Ground,(-17.50, -4.00, -8.50)
Sand Ground,(-17.50, -4.00, -6.50)
Sand Ground,(-24.50, -4.00, -7.50)
Sand Ground,(-24.50, -4.00, -6.50)
Sand Ground,(-24.50, -4.00, -5.50)
Sand Ground,(-25.50, -4.00, -7.50)
Sand Ground,(-25.50, -4.00, -6.50)
Sand Ground,(-25.50, -4.00, -5.50)
Sand Ground,(-25.50, -4.00, -8.50)
Sand Ground,(-24.50, -4.00, -8.50)
Sand Ground,(-23.50, -4.00, -8.50)
Sand Ground,(-25.50, -4.00, -9.50)
Sand Ground,(-24.50, -4.00, -9.50)
Sand Ground,(-23.50, -4.00, -9.50)
Sand Ground,(-24.50, -4.00, -10.50)
Sand Ground,(-23.50, -4.00, -10.50)
Sand Ground,(-22.50, -4.00, -10.50)
Sand Ground,(-22.50, -4.00, -9.50)
Sand Ground,(-23.50, -4.00, -11.50)
Sand Ground,(-22.50, -4.00, -11.50)
Sand Ground,(-21.50, -4.00, -11.50)
Sand Ground,(-21.50, -4.00, -10.50)
Sand Ground,(-21.50, -4.00, -9.50)
Sand Ground,(-20.50, -4.00, -11.50)
Sand Ground,(-20.50, -4.00, -10.50)
Sand Ground,(-19.50, -4.00, -11.50)
Sand Ground,(-19.50, -4.00, -10.50)
Sand Ground,(-18.50, -4.00, -11.50)
Sand Ground,(-18.50, -4.00, -10.50)
Sand Ground,(-17.50, -4.00, -11.50)
Sand Ground,(-17.50, -4.00, -10.50)
Sand Ground,(-16.50, -4.00, -11.50)
Sand Ground,(-16.50, -4.00, -10.50)
Sand Ground,(-16.50, -4.00, -9.50)
Sand Ground,(-15.50, -4.00, -8.50)
Sand Ground,(-14.50, -4.00, -9.50)
Sand Ground,(-14.50, -4.00, -8.50)
Sand Ground,(-15.50, -4.00, -7.50)
Sand Ground,(-13.50, -4.00, -8.50)
Sand Ground,(-13.50, -4.00, -7.50)
Sand Ground,(-15.50, -4.00, -5.50)
Sand Ground,(-14.50, -4.00, -5.50)
Sand Ground,(-15.50, -4.00, -4.50)
Sand Ground,(-13.50, -4.00, -4.50)
Sand Ground,(-15.50, -4.00, -3.50)
Sand Ground,(-15.50, -4.00, -2.50)
Sand Ground,(-19.50, -4.00, -1.50)
Sand Ground,(-17.50, -4.00, -1.50)
Sand Ground,(-19.50, -4.00, -0.50)
Sand Ground,(-18.50, -4.00, -0.50)
Sand Ground,(-16.50, -4.00, -1.50)
Sand Ground,(-24.50, -4.00, -2.50)
Sand Ground,(-23.50, -4.00, -2.50)
Sand Ground,(-22.50, -4.00, -2.50)
Sand Ground,(-24.50, -4.00, -1.50)
Sand Ground,(-23.50, -4.00, -1.50)
Sand Ground,(-22.50, -4.00, -1.50)
Sand Ground,(-24.50, -4.00, -0.50)
Sand Ground,(-23.50, -4.00, -0.50)
Sand Ground,(-22.50, -4.00, -0.50)
Sand Ground,(-21.50, -4.00, -2.50)
Sand Ground,(-21.50, -4.00, -1.50)
Sand Ground,(-21.50, -4.00, -0.50)
Sand Ground,(-20.50, -4.00, -1.50)
Sand Ground,(-20.50, -4.00, -0.50)
Sand Ground,(-27.50, -4.00, -2.50)
Sand Ground,(-26.50, -4.00, -2.50)
Sand Ground,(-25.50, -4.00, -2.50)
Sand Ground,(-27.50, -4.00, -1.50)
Sand Ground,(-26.50, -4.00, -1.50)
Sand Ground,(-25.50, -4.00, -1.50)
Sand Ground,(-27.50, -4.00, -0.50)
Sand Ground,(-26.50, -4.00, -0.50)
Sand Ground,(-25.50, -4.00, -0.50)
Sand Ground,(-27.50, -4.00, -5.50)
Sand Ground,(-26.50, -4.00, -5.50)
Sand Ground,(-27.50, -4.00, -4.50)
Sand Ground,(-26.50, -4.00, -4.50)
Sand Ground,(-25.50, -4.00, -4.50)
Sand Ground,(-27.50, -4.00, -3.50)
Sand Ground,(-26.50, -4.00, -3.50)
Sand Ground,(-25.50, -4.00, -3.50)
Sand Ground,(-27.50, -4.00, -7.50)
Sand Ground,(-26.50, -4.00, -7.50)
Sand Ground,(-27.50, -4.00, -6.50)
Sand Ground,(-26.50, -4.00, -6.50)
Sand Ground,(-26.50, -4.00, -8.50)
Sand Ground,(-24.50, -4.00, -4.50)
Sand Ground,(-25.50, -4.00, -10.50)
Sand Ground,(-27.50, -4.00, -10.50)
Sand Ground,(-26.50, -4.00, -10.50)
Sand Ground,(-27.50, -4.00, -9.50)
Sand Ground,(-26.50, -4.00, -9.50)
Sand Ground,(-27.50, -4.00, -8.50)
Sand Ground,(-29.50, -4.00, -11.50)
Sand Ground,(-28.50, -4.00, -11.50)
Sand Ground,(-27.50, -4.00, -11.50)
Sand Ground,(-29.50, -4.00, -10.50)
Sand Ground,(-28.50, -4.00, -10.50)
Sand Ground,(-29.50, -4.00, -9.50)
Sand Ground,(-28.50, -4.00, -9.50)
Sand Ground,(-26.50, -4.00, -11.50)
Sand Ground,(-25.50, -4.00, -11.50)
Sand Ground,(-24.50, -4.00, -11.50)
Sand Ground,(-24.50, -4.00, -12.50)
Sand Ground,(-23.50, -4.00, -12.50)
Sand Ground,(-22.50, -4.00, -12.50)
Sand Ground,(-21.50, -4.00, -12.50)
Sand Ground,(-20.50, -4.00, -12.50)
Sand Ground,(-19.50, -4.00, -12.50)
Sand Ground,(-18.50, -4.00, -12.50)
Sand Ground,(-17.50, -4.00, -12.50)
Sand Ground,(-16.50, -4.00, -12.50)
Sand Ground,(-15.50, -4.00, -12.50)
Sand Ground,(-15.50, -4.00, -11.50)
Sand Ground,(-13.50, -4.00, -12.50)
Sand Ground,(-13.50, -4.00, -11.50)
Sand Ground,(-28.50, -4.00, -7.50)
Sand Ground,(-28.50, -4.00, -6.50)
Sand Ground,(-28.50, -4.00, -5.50)
Sand Ground,(-31.50, -4.00, -8.50)
Sand Ground,(-30.50, -4.00, -8.50)
Sand Ground,(-29.50, -4.00, -8.50)
Sand Ground,(-31.50, -4.00, -7.50)
Sand Ground,(-30.50, -4.00, -7.50)
Sand Ground,(-29.50, -4.00, -7.50)
Sand Ground,(-31.50, -4.00, -6.50)
Sand Ground,(-30.50, -4.00, -6.50)
Sand Ground,(-29.50, -4.00, -6.50)
Sand Ground,(-28.50, -4.00, -8.50)
Sand Ground,(-29.50, -4.00, -5.50)
Sand Ground,(-32.50, -4.00, -8.50)
Sand Ground,(-32.50, -4.00, -7.50)
Sand Ground,(-32.50, -4.00, -6.50)
Sand Ground,(-32.50, -4.00, -5.50)
Sand Ground,(-31.50, -4.00, -5.50)
Sand Ground,(-30.50, -4.00, -5.50)
Sand Ground,(-32.50, -4.00, -4.50)
Sand Ground,(-31.50, -4.00, -4.50)
Sand Ground,(-30.50, -4.00, -4.50)
Sand Ground,(-32.50, -4.00, -3.50)
Sand Ground,(-31.50, -4.00, -3.50)
Sand Ground,(-30.50, -4.00, -3.50)
Sand Ground,(-32.50, -4.00, -2.50)
Sand Ground,(-31.50, -4.00, -2.50)
Sand Ground,(-30.50, -4.00, -2.50)
Sand Ground,(-29.50, -4.00, -3.50)
Sand Ground,(-29.50, -4.00, -2.50)
Sand Ground,(-31.50, -4.00, -1.50)
Sand Ground,(-30.50, -4.00, -1.50)
Sand Ground,(-29.50, -4.00, -1.50)
Sand Ground,(-28.50, -4.00, -2.50)
Sand Ground,(-28.50, -4.00, -1.50)
Sand Ground,(-30.50, -4.00, -0.50)
Sand Ground,(-29.50, -4.00, -0.50)
Sand Ground,(-28.50, -4.00, -0.50)
Sand Ground,(-29.50, -4.00, 0.50)
Sand Ground,(-28.50, -4.00, 0.50)
Sand Ground,(-27.50, -4.00, 0.50)
Sand Ground,(-26.50, -4.00, 0.50)
Sand Ground,(-25.50, -4.00, 0.50)
Sand Ground,(-27.50, -4.00, 1.50)
Sand Ground,(-26.50, -4.00, 1.50)
Sand Ground,(-25.50, -4.00, 1.50)
Sand Ground,(-24.50, -4.00, 0.50)
Sand Ground,(-24.50, -4.00, 1.50)
Sand Ground,(-23.50, -4.00, 0.50)
Sand Ground,(-23.50, -4.00, 1.50)
Sand Ground,(-22.50, -4.00, 0.50)
